timestamp,alpha,beta,theta,gamma,delta
2026-02-04T16:39:38.371517,0.3274,0.0979,-0.0135,-0.1301,-0.0617
2026-02-04T16:39:39.373416,0.2973,0.1412,0.1711,-0.174,-0.0134
2026-02-04T16:39:40.374958,0.3492,0.079,0.2067,-0.2254,0.0281
2026-02-04T16:39:41.377053,0.2889,0.0605,0.035,-0.2671,0.0353
2026-02-04T16:39:42.377692,0.1541,0.0531,-0.0927,-0.1121,-0.0975
2026-02-04T16:39:43.378613,0.2695,0.2409,-0.0139,0.0811,-0.0117
2026-02-04T16:39:44.379681,0.324,0.3322,0.0019,0.1039,0.1462
2026-02-04T16:39:45.382017,0.266,0.1639,-0.1641,0.0185,0.0202
2026-02-04T16:39:46.383559,0.2816,0.0623,-0.0631,-0.0595,0.0998
2026-02-04T16:39:47.384940,0.3585,0.1725,0.0705,0.0108,0.0029
2026-02-04T16:39:48.387807,0.3581,0.3543,0.0383,0.2551,0.0436
2026-02-04T16:39:49.390127,0.2898,0.2698,-0.1138,0.2165,-0.0737
2026-02-04T16:39:50.390847,0.2773,0.1847,-0.0174,0.052,-0.1882
2026-02-04T16:39:51.392079,0.3239,0.1528,-0.0228,-0.0155,0.0382
2026-02-04T16:39:52.394815,0.2908,0.1366,-0.107,-0.0064,0.0304
2026-02-04T16:39:53.396795,0.2455,0.1119,-0.0348,-0.0302,-0.084
2026-02-04T16:39:54.398659,0.282,0.0968,-0.0065,-0.0602,-0.0494
2026-02-04T16:39:55.399859,0.1977,0.14,-0.1518,-0.0102,-0.0725
2026-02-04T16:39:56.401513,0.2224,0.1601,-0.1025,0.0014,0.0565
2026-02-04T16:39:57.403938,0.2023,0.1176,-0.0454,-0.1422,0.1379
2026-02-04T16:39:58.405125,0.208,0.1528,-0.165,-0.0951,0.0219
2026-02-04T16:39:59.406746,0.2175,0.1641,-0.1278,0.0267,0.0236
2026-02-04T16:40:00.409291,0.2321,0.1519,-0.115,-0.0019,-0.1816
2026-02-04T16:40:01.410550,0.319,0.1126,-0.0685,-0.0284,-0.2122
2026-02-04T16:40:02.412281,0.3463,0.1569,-0.1022,-0.0935,-0.1683
2026-02-04T16:40:03.413736,0.3541,0.0836,-0.0623,-0.1363,-0.2312
2026-02-04T16:40:04.414705,0.3881,0.1129,-0.0345,-0.102,-0.0544
2026-02-04T16:40:13.303546,0.3423,0.1522,-0.1544,-0.0458,-0.0293
2026-02-04T16:40:14.604570,0.2162,0.1423,-0.1923,-0.0641,-0.0633
2026-02-04T16:40:15.713358,0.2235,0.1291,-0.1776,-0.1257,-0.0416
2026-02-04T16:40:16.737492,0.2235,0.1291,-0.1776,-0.1257,-0.0416
2026-02-04T16:40:17.798854,0.2308,0.1135,-0.1726,-0.1328,-0.0377
2026-02-04T16:40:18.801333,0.2453,0.0877,-0.0627,-0.1275,0.0769
2026-02-04T16:40:19.802324,0.2157,0.1017,0.0243,-0.0447,0.1452
2026-02-04T16:40:20.803708,0.2539,0.1287,-0.216,-0.0692,0.1661
2026-02-04T16:40:21.805240,0.2631,0.1457,-0.1876,-0.0551,0.1676
2026-02-04T16:40:22.806962,0.22,0.155,-0.1837,-0.0412,0.0907
2026-02-04T16:40:23.807671,0.1901,-0.0421,-0.2386,-0.0637,-0.0545
2026-02-04T16:40:24.808814,0.2791,0.0008,-0.1702,-0.0978,0.0057
2026-02-04T16:40:25.809756,0.264,0.0103,-0.2715,-0.075,-0.1311
2026-02-04T16:40:26.810691,0.104,0.0292,-0.3985,-0.1303,-0.1494
2026-02-04T16:40:27.813605,0.1431,0.0554,-0.3835,-0.0844,-0.1124
2026-02-04T16:40:28.815850,0.0792,0.0638,-0.3995,-0.0679,-0.1936
2026-02-04T16:40:29.816980,0.2671,0.1576,-0.201,0.0006,0.0725
2026-02-04T16:40:30.817709,0.3179,0.2259,-0.2281,-0.0099,-0.0223
2026-02-04T16:40:31.818581,0.4285,0.3091,0.0296,0.0928,0.1572
2026-02-04T16:40:32.819370,0.4305,0.3137,0.0763,0.0932,0.1729
2026-02-04T16:40:33.820372,0.3863,0.1816,-0.0142,-0.1108,0.1346
2026-02-04T16:40:34.822283,0.3083,0.1349,0.085,0.041,0.2811
2026-02-04T16:40:35.823077,0.2251,0.0945,0.1197,0.0159,0.0949
2026-02-04T16:40:36.824200,0.2556,0.0423,0.0822,0.0178,-0.0792
2026-02-04T16:40:37.825626,0.3737,0.1317,0.0615,0.0229,-0.1339
2026-02-04T16:40:38.826410,0.229,0.1247,0.0355,0.0064,-0.0937
2026-02-04T16:40:39.827573,0.1324,0.1699,-0.0515,0.0094,-0.0781
2026-02-04T16:40:40.829558,0.3338,0.1505,-0.0456,-0.052,-0.0557
2026-02-04T16:40:41.830523,0.3237,0.0843,-0.0682,-0.0083,-0.1453
2026-02-04T16:40:42.832017,0.2887,0.1198,-0.0213,-0.0481,-0.213
2026-02-04T16:40:43.833750,0.2355,0.1622,-0.0634,-0.1227,-0.3715
2026-02-04T16:40:44.834221,0.2396,0.116,0.0775,-0.1136,-0.1797
2026-02-04T16:40:45.834800,0.2895,0.0986,0.1138,-0.0471,-0.0444
2026-02-04T16:40:46.836141,0.3569,0.1582,0.1211,0.0113,0.0855
2026-02-04T16:40:47.836905,0.2718,0.1308,0.1094,0.0256,0.0867
2026-02-04T16:40:48.841322,0.3701,0.1633,0.0924,-0.0361,0.1907
2026-02-04T16:40:49.842954,0.4574,0.2146,0.1302,-0.0679,-0.0255
2026-02-04T16:40:50.844346,0.4249,0.1671,-0.017,-0.0164,0.0777
2026-02-04T16:40:51.845194,0.2478,0.161,-0.0886,0.0109,0.0587
2026-02-04T16:40:52.846812,0.207,0.1573,-0.0296,-0.0066,0.0056
2026-02-04T16:40:53.859525,0.2548,0.092,-0.1461,-0.0643,0.0775
2026-02-04T16:40:54.865208,0.2757,0.0584,-0.0518,-0.1408,0.0366
2026-02-04T16:40:55.867567,0.2477,0.0708,-0.0767,-0.0775,-0.139
